,label,input,seglen,ids,mfw,freqtype,normalization,ARI
123,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.4612
124,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.6521
125,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.6752
126,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.3781
127,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.4612
128,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.4612
129,full-99999-15-2000-relative-True,full,99999,15,2000,relative,True,0.4612
130,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
131,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
132,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
133,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
134,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
135,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
136,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
137,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
138,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
139,full-99999-15-2000-relative-False,full,99999,15,2000,relative,False,0.5734
140,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.314
141,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
142,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
143,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
144,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.314
145,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.314
146,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
147,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
148,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
149,full-99999-15-2000-absolute-True,full,99999,15,2000,absolute,True,0.2733
150,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
151,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
152,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
153,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
154,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
155,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
156,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
157,full-99999-15-2000-absolute-False,full,99999,15,2000,absolute,False,0.2733
